 1 Centrale kraftværker DK1
 2 Centrale kraftværker DK2
 3 Decentrale kraftværker DK1
 4 Decentrale kraftværker DK2
 5 Vindmøller DK1
 6 Vindmøller DK2
 7 Udveksling Jylland-Norge
 8 Udveksling Jylland-Sverige
 9 Udveksling Jylland-Tyskland
10 Udveksling Sjælland-Sverige
11 Udveksling Sjælland-Tyskland
12 Udveksling Bornholm-Sverige
13 Udveksling Fyn-Sjaelland
14 Temperatur i Malling
15 Vindhastighed i Malling
16 CO2 udledning
17 Havmøller DK
18 Landmøller DK
19 Solceller DK1
20 Solceller DK2
 
Dato og tid      ;      1 ;      2 ;      3 ;      4 ;      5 ;      6 ;      7 ;      8 ;      9 ;     10 ;     11 ;     12 ;     13 ;     14 ;     15 ;     16 ;     17 ;     18 ;     19 ;     20 ;
2014-10-15 00:00 ;    560 ;    479 ;    257 ;    100 ;   1008 ;     96 ;    389 ;     -1 ;    153 ;   -119 ;    164 ;     16 ;   -492 ;     10 ;      4 ;    286 ;    557 ;    547 ;      0 ;      0 ;
2014-10-15 00:05 ;    604 ;    480 ;    259 ;    105 ;   1003 ;    102 ;    285 ;     -1 ;     94 ;   -139 ;    287 ;     16 ;   -382 ;     10 ;      5 ;    306 ;    540 ;    565 ;      0 ;      0 ;
2014-10-15 00:10 ;    606 ;    475 ;    247 ;    103 ;    996 ;    108 ;    184 ;     -1 ;    134 ;   -120 ;    287 ;     16 ;   -346 ;     10 ;      5 ;    317 ;    544 ;    559 ;      0 ;      0 ;
2014-10-15 00:15 ;    624 ;    473 ;    246 ;    100 ;    991 ;    103 ;     87 ;     -1 ;     97 ;     11 ;    287 ;     16 ;   -210 ;     10 ;      5 ;    327 ;    532 ;    563 ;      0 ;      0 ;
2014-10-15 00:20 ;    614 ;    476 ;    252 ;    105 ;    970 ;    100 ;     83 ;     -1 ;     89 ;     12 ;    287 ;     15 ;   -205 ;     10 ;      5 ;    327 ;    529 ;    541 ;      0 ;      0 ;
2014-10-15 00:25 ;    606 ;    472 ;    247 ;    103 ;    967 ;    102 ;     83 ;     -1 ;     91 ;     -8 ;    287 ;     15 ;   -205 ;     10 ;      5 ;    329 ;    535 ;    533 ;      0 ;      0 ;
2014-10-15 00:30 ;    593 ;    487 ;    250 ;     99 ;    981 ;    107 ;     82 ;     -1 ;     71 ;    -11 ;    287 ;     15 ;   -206 ;     10 ;      4 ;    325 ;    542 ;    546 ;      0 ;      0 ;
2014-10-15 00:35 ;    593 ;    499 ;    245 ;    102 ;    991 ;    109 ;     81 ;     -1 ;     85 ;    -40 ;    287 ;     15 ;   -205 ;     10 ;      4 ;    323 ;    534 ;    566 ;      0 ;      0 ;
2014-10-15 00:40 ;    583 ;    499 ;    250 ;     99 ;    983 ;    108 ;     81 ;     -1 ;     73 ;    -60 ;    287 ;     15 ;   -206 ;     10 ;      4 ;    320 ;    542 ;    549 ;      0 ;      0 ;
2014-10-15 00:45 ;    563 ;    499 ;    256 ;     97 ;   1005 ;    105 ;     81 ;     -1 ;     70 ;    -49 ;    287 ;     14 ;   -206 ;     10 ;      4 ;    315 ;    548 ;    561 ;      0 ;      0 ;
2014-10-15 00:50 ;    551 ;    505 ;    241 ;     97 ;   1010 ;    108 ;     66 ;     -1 ;     86 ;    -67 ;    287 ;     14 ;   -207 ;     10 ;      5 ;    316 ;    539 ;    579 ;      0 ;      0 ;
2014-10-15 00:55 ;    548 ;    508 ;    252 ;     99 ;   1013 ;    112 ;     52 ;     -1 ;     95 ;   -105 ;    313 ;     14 ;   -207 ;     10 ;      5 ;    316 ;    544 ;    581 ;      0 ;      0 ;
2014-10-15 01:00 ;    522 ;    510 ;    253 ;     98 ;   1027 ;    109 ;     47 ;     -1 ;    115 ;   -239 ;    436 ;     14 ;   -206 ;     10 ;      5 ;    311 ;    548 ;    587 ;      0 ;      0 ;
2014-10-15 01:05 ;    536 ;    510 ;    243 ;     98 ;   1012 ;    110 ;     30 ;     -1 ;    119 ;   -365 ;    571 ;     14 ;   -206 ;     10 ;      5 ;    317 ;    552 ;    570 ;      0 ;      0 ;
