 1 Centrale kraftværker DK1
 2 Centrale kraftværker DK2
 3 Decentrale kraftværker DK1
 4 Decentrale kraftværker DK2
 5 Vindmøller DK1
 6 Vindmøller DK2
 7 Udveksling Jylland-Norge
 8 Udveksling Jylland-Sverige
 9 Udveksling Jylland-Tyskland
10 Udveksling Sjælland-Sverige
11 Udveksling Sjælland-Tyskland
12 Udveksling Bornholm-Sverige
13 Udveksling Fyn-Sjaelland
14 Temperatur i Malling
15 Vindhastighed i Malling
16 CO2 udledning
17 Havmøller DK
18 Landmøller DK
19 Solceller DK1
20 Solceller DK2
 
Dato og tid      ;      1 ;      2 ;      3 ;      4 ;      5 ;      6 ;      7 ;      8 ;      9 ;     10 ;     11 ;     12 ;     13 ;     14 ;     15 ;     16 ;     17 ;     18 ;     19 ;     20 ;
2014-12-05 00:00 ;   1162 ;    798 ;    302 ;    188 ;   1010 ;    440 ;    803 ;     38 ;  -1215 ;    408 ;   -585 ;     14 ;    -75 ;      4 ;      8 ;    362 ;    790 ;    659 ;      0 ;      0 ;
2014-12-05 00:05 ;   1118 ;    801 ;    295 ;    193 ;    987 ;    444 ;    802 ;     76 ;  -1335 ;    528 ;   -585 ;     13 ;     58 ;      4 ;      8 ;    360 ;    781 ;    650 ;      0 ;      0 ;
2014-12-05 00:10 ;   1112 ;    787 ;    289 ;    193 ;    990 ;    435 ;    801 ;     76 ;  -1335 ;    551 ;   -586 ;     12 ;     56 ;      4 ;      9 ;    358 ;    776 ;    649 ;      0 ;      0 ;
2014-12-05 00:15 ;   1122 ;    782 ;    290 ;    190 ;    981 ;    431 ;    802 ;     76 ;  -1371 ;    562 ;   -586 ;     12 ;     56 ;      4 ;      8 ;    360 ;    767 ;    645 ;      0 ;      0 ;
2014-12-05 00:20 ;   1135 ;    785 ;    288 ;    189 ;    972 ;    415 ;    801 ;     76 ;  -1369 ;    564 ;   -585 ;     13 ;     56 ;      4 ;      7 ;    363 ;    755 ;    632 ;      0 ;      0 ;
2014-12-05 00:25 ;   1156 ;    771 ;    292 ;    191 ;    977 ;    429 ;    802 ;     76 ;  -1409 ;    559 ;   -586 ;     13 ;     56 ;      4 ;      6 ;    363 ;    755 ;    650 ;      0 ;      0 ;
2014-12-05 00:30 ;   1133 ;    771 ;    292 ;    190 ;    984 ;    419 ;    802 ;     76 ;  -1399 ;    549 ;   -585 ;     13 ;     56 ;      4 ;      7 ;    360 ;    758 ;    646 ;      0 ;      0 ;
2014-12-05 00:35 ;   1107 ;    773 ;    289 ;    187 ;    984 ;    410 ;    802 ;     76 ;  -1384 ;    546 ;   -586 ;     13 ;     56 ;      4 ;      6 ;    359 ;    753 ;    641 ;      0 ;      0 ;
2014-12-05 00:40 ;   1115 ;    766 ;    288 ;    190 ;    977 ;    392 ;    802 ;     76 ;  -1389 ;    555 ;   -586 ;     13 ;     57 ;      4 ;      6 ;    362 ;    737 ;    631 ;      0 ;      0 ;
2014-12-05 00:45 ;   1092 ;    765 ;    296 ;    190 ;    962 ;    393 ;    802 ;     75 ;  -1374 ;    559 ;   -586 ;     13 ;     57 ;      4 ;      7 ;    361 ;    735 ;    620 ;      0 ;      0 ;
2014-12-05 00:50 ;   1085 ;    762 ;    293 ;    197 ;    968 ;    379 ;    802 ;     81 ;  -1386 ;    577 ;   -585 ;     13 ;     54 ;      4 ;      7 ;    361 ;    725 ;    622 ;      0 ;      0 ;
2014-12-05 00:55 ;   1071 ;    766 ;    290 ;    187 ;    977 ;    358 ;    802 ;     90 ;  -1383 ;    569 ;   -586 ;     13 ;     43 ;      4 ;      7 ;    360 ;    727 ;    608 ;      0 ;      0 ;
2014-12-05 01:00 ;   1070 ;    760 ;    288 ;    190 ;    980 ;    354 ;    802 ;     97 ;  -1353 ;    522 ;   -586 ;     13 ;      0 ;      5 ;      7 ;    360 ;    717 ;    616 ;      0 ;      0 ;
2014-12-05 01:05 ;   1097 ;    780 ;    284 ;    189 ;    985 ;    343 ;    802 ;    102 ;  -1384 ;    506 ;   -585 ;     13 ;      0 ;      5 ;      6 ;    365 ;    712 ;    617 ;      0 ;      0 ;
2014-12-05 01:10 ;   1098 ;    771 ;    294 ;    191 ;    974 ;    338 ;    802 ;    110 ;  -1404 ;    510 ;   -585 ;     14 ;      0 ;      5 ;      7 ;    365 ;    703 ;    609 ;      0 ;      0 ;
2014-12-05 01:15 ;   1077 ;    761 ;    283 ;    192 ;    978 ;    331 ;    802 ;    115 ;  -1383 ;    516 ;   -585 ;     13 ;      0 ;      5 ;      7 ;    363 ;    694 ;    616 ;      0 ;      0 ;
2014-12-05 01:20 ;   1105 ;    761 ;    288 ;    192 ;    960 ;    333 ;    802 ;    117 ;  -1401 ;    521 ;   -586 ;     13 ;      0 ;      5 ;      6 ;    365 ;    688 ;    605 ;      0 ;      0 ;
2014-12-05 01:25 ;   1097 ;    753 ;    290 ;    193 ;    958 ;    324 ;    802 ;    117 ;  -1392 ;    553 ;   -585 ;     12 ;      0 ;      5 ;      6 ;    365 ;    687 ;    595 ;      0 ;      0 ;
2014-12-05 01:30 ;   1078 ;    746 ;    290 ;    188 ;    956 ;    329 ;    802 ;    117 ;  -1366 ;    530 ;   -586 ;     12 ;      0 ;      5 ;      6 ;    362 ;    688 ;    597 ;      0 ;      0 ;
2014-12-05 01:35 ;   1085 ;    736 ;    286 ;    187 ;    932 ;    334 ;    803 ;    117 ;  -1365 ;    535 ;   -586 ;     13 ;      0 ;      5 ;      7 ;    363 ;    686 ;    580 ;      0 ;      0 ;
2014-12-05 01:40 ;   1116 ;    733 ;    286 ;    187 ;    925 ;    328 ;    802 ;    117 ;  -1402 ;    549 ;   -586 ;     12 ;      0 ;      5 ;      4 ;    367 ;    679 ;    574 ;      0 ;      0 ;
2014-12-05 01:45 ;   1118 ;    730 ;    284 ;    188 ;    899 ;    324 ;    802 ;    117 ;  -1380 ;    553 ;   -586 ;     13 ;      0 ;      5 ;      5 ;    370 ;    666 ;    558 ;      0 ;      0 ;
2014-12-05 01:50 ;   1095 ;    721 ;    294 ;    188 ;    907 ;    334 ;    802 ;     97 ;  -1352 ;    567 ;   -586 ;     12 ;      0 ;      5 ;      6 ;    364 ;    671 ;    571 ;      0 ;      0 ;
2014-12-05 01:55 ;   1106 ;    715 ;    290 ;    194 ;    909 ;    336 ;    802 ;     78 ;  -1319 ;    569 ;   -585 ;     12 ;      0 ;      5 ;      7 ;    364 ;    666 ;    578 ;      0 ;      0 ;
2014-12-05 02:00 ;   1171 ;    690 ;    283 ;    191 ;    893 ;    350 ;    801 ;     59 ;  -1353 ;    587 ;   -586 ;     14 ;      0 ;      5 ;      6 ;    371 ;    669 ;    575 ;      0 ;      0 ;
2014-12-05 02:05 ;   1224 ;    665 ;    283 ;    199 ;    875 ;    346 ;    802 ;     50 ;  -1384 ;    598 ;   -586 ;     13 ;      0 ;      5 ;      8 ;    380 ;    663 ;    558 ;      0 ;      0 ;
2014-12-05 02:10 ;   1290 ;    655 ;    290 ;    191 ;    878 ;    343 ;    802 ;     50 ;  -1434 ;    591 ;   -585 ;     14 ;    -21 ;      5 ;      7 ;    387 ;    659 ;    562 ;      0 ;      0 ;
2014-12-05 02:15 ;   1267 ;    670 ;    291 ;    186 ;    884 ;    332 ;    802 ;     89 ;  -1450 ;    568 ;   -586 ;     13 ;    -26 ;      5 ;      6 ;    386 ;    661 ;    555 ;      0 ;      0 ;
2014-12-05 02:20 ;   1252 ;    712 ;    289 ;    188 ;    865 ;    332 ;    802 ;     90 ;  -1413 ;    543 ;   -585 ;     14 ;    -26 ;      5 ;      6 ;    387 ;    652 ;    544 ;      0 ;      0 ;
